	sampling points	vegetation inliers	sampling time	total time
0	100	27903.333333333332	7.297580615679423	8.040571411450705
1	250	25458.6	7.307880369822184	8.042457628250123
2	500	21307.033333333333	7.338203549385071	8.403018776575724
3	1000	17359.3	7.498513372739156	10.86468683083852
4	2000	24641.9	7.827923425038656	32.50335172812144
