	sequence	step	number of pcds	number of points	vegetation inliers	concatenation time	total time
37	016	10	8	1199278	0	0.17092347145080566	12.917377233505249
38	016	5	16	2392555	0	0.2012627124786377	20.79646110534668
39	016	1	80	11966154	0	0.4699442386627197	92.17479848861694
40	017	40	2	293366	0	0.15720915794372559	8.01000452041626
41	017	20	4	588673	32529	0.18018364906311035	8.228373289108276
42	017	10	8	1176998	1960	0.18117761611938477	9.490734577178955
43	017	5	16	2340605	0	0.20598793029785156	14.68854308128357
44	017	1	80	11696723	146	0.4791293144226074	75.68478846549988
45	019	40	2	339066	23433	0.18296098709106445	3.2664761543273926
46	019	20	4	667625	969	0.17537188529968262	4.432748794555664
47	019	10	8	1330585	1750	0.19523406028747559	9.149906635284424
48	019	5	16	2654843	2577	0.23119354248046875	17.452198266983032
49	019	1	80	13243854	17421	0.547619104385376	93.03244972229004
50	021	40	2	334626	5690	0.17349696159362793	3.8815789222717285
51	021	20	4	668118	16324	0.19051313400268555	5.678841590881348
52	021	10	8	1336670	3013	0.19469499588012695	10.524739980697632
53	021	5	16	2673846	19978	0.24688482284545898	20.863423109054565
54	021	1	80	13351369	130966	0.5316286087036133	111.30775856971741
55	023	40	2	335989	4133	0.1736764907836914	2.9181394577026367
56	023	20	4	679051	16595	0.17625975608825684	4.6355202198028564
57	023	10	8	1363062	16913	0.19938397407531738	8.392519474029541
58	023	5	16	2731560	53160	0.23500633239746094	20.099982023239136
59	023	1	80	13669961	213960	0.5399322509765625	107.42123460769653
60	024	40	2	334285	973	0.16701197624206543	3.4618377685546875
61	024	20	4	663988	1507	0.1702110767364502	5.710858106613159
62	024	10	8	1326408	2750	0.1916182041168213	11.202115774154663
63	024	5	16	2649248	7426	0.23019719123840332	23.118746519088745
64	024	1	80	13227067	52382	0.5249364376068115	129.21790194511414
65	027	40	2	362056	2984	0.18836140632629395	3.1432175636291504
66	027	20	4	727106	2086	0.1890852451324463	4.738746166229248
67	027	10	8	1458397	4589	0.2046658992767334	9.960608005523682
68	027	5	16	2917614	21072	0.2440791130065918	20.07847571372986
69	027	1	80	14608948	112300	0.5310969352722168	101.77969741821289
70	028	40	2	365428	6002	0.20553159713745117	5.23081636428833
71	028	20	4	726873	7699	0.18297886848449707	6.2093822956085205
72	028	10	8	1459543	28020	0.2105240821838379	9.234174966812134
73	028	5	16	2904296	4222	0.24025917053222656	17.51744532585144
74	028	1	80	14542152	22990	0.5755102634429932	90.21450281143188
75	029	40	2	364910	2077	0.2011115550994873	4.645174980163574
76	029	20	4	726278	5674	0.18159031867980957	7.753889083862305
77	029	10	8	1456272	8452	0.2092890739440918	14.91715383529663
78	029	5	16	2914269	16553	0.24875092506408691	30.166691780090332
79	029	1	80	14600666	56213	0.539423942565918	166.85840582847595
80	030	40	2	350871	0	0.19164299964904785	16.278225421905518
81	030	20	4	704913	0	0.1857914924621582	17.126205921173096
82	030	10	8	1410764	0	0.2397603988647461	18.922698259353638
83	030	5	16	2821492	0	0.27472734451293945	23.530567407608032
84	030	1	80	14117020	3928	0.5625908374786377	90.9025239944458
85	032	40	2	355511	38	0.17809724807739258	6.614426374435425
86	032	20	4	710432	0	0.18448138236999512	7.729008913040161
87	032	10	8	1405167	108	0.21285009384155273	11.940785884857178
88	032	5	16	2802468	452	0.2586519718170166	20.313801288604736
89	032	1	80	14006346	1897	0.5622889995574951	91.1723849773407
90	033	40	2	363210	23315	0.18896222114562988	5.06856894493103
91	033	20	4	729229	9651	0.21067070960998535	5.867108345031738
92	033	10	8	1465759	30814	0.22444462776184082	9.644191980361938
93	033	5	16	2923689	57175	0.25708675384521484	18.058262825012207
94	033	1	80	14669049	312065	0.6188137531280518	94.18083477020264
95	034	40	2	366644	22601	0.1959397792816162	4.950039863586426
96	034	20	4	736149	1351	0.21343255043029785	7.8779661655426025
97	034	10	8	1481172	8123	0.227034330368042	11.497703075408936
98	034	5	16	2954570	28366	0.25427818298339844	20.418697834014893
99	034	1	80	14770793	139761	0.5540313720703125	96.00284552574158
100	035	40	2	361944	9332	0.18375086784362793	4.1649370193481445
101	035	20	4	730088	19162	0.20894360542297363	5.950608253479004
102	035	10	8	1461394	45213	0.21774768829345703	9.907102346420288
103	035	5	16	2915902	97752	0.2487955093383789	17.043230056762695
104	035	1	80	14598725	507689	0.5368287563323975	89.01955556869507
105	037	40	2	355912	12163	0.1864488124847412	4.727267026901245
106	037	20	4	715875	752	0.18823981285095215	6.240191698074341
107	037	10	8	1424227	2342	0.20245099067687988	11.462985038757324
108	037	5	16	2847593	11533	0.24980950355529785	20.759182929992676
109	037	1	80	14242409	94953	0.5483283996582031	107.9300377368927
110	038	40	2	352982	70	0.18396592140197754	5.580257415771484
111	038	20	4	719961	140	0.18757987022399902	6.6224205493927
112	038	10	8	1440069	374	0.2962672710418701	9.43232274055481
113	038	5	16	2882657	1158	0.25505709648132324	17.779423236846924
114	038	1	80	14437077	17187	0.5459563732147217	90.73754215240479
115	039	40	2	367534	689	0.19410157203674316	5.5443596839904785
116	039	20	4	733342	1261	0.19022607803344727	7.251910924911499
117	039	10	8	1458955	3770	0.19779109954833984	12.201131343841553
118	039	5	16	2906184	7375	0.313218355178833	22.370853185653687
119	039	1	80	14527607	38006	0.5450987815856934	112.89800763130188
120	040	40	2	345925	76	0.19164061546325684	14.530073404312134
121	040	20	4	697626	190	0.20270633697509766	6.630432367324829
122	040	10	8	1386637	2321	0.20451879501342773	8.83695936203003
123	040	5	16	2762032	3645	0.23981070518493652	15.314653158187866
124	040	1	80	13800379	18704	0.6031243801116943	78.31729197502136
125	041	40	2	365441	4598	0.18849754333496094	6.041733741760254
126	041	20	4	730012	5762	0.22922062873840332	7.5139782428741455
127	041	10	8	1459980	16663	0.22308611869812012	11.15666389465332
128	041	5	16	2922419	40101	0.2514986991882324	21.594637155532837
129	041	1	80	14604549	198505	0.5665771961212158	113.81958413124084
130	042	40	2	362766	2223	0.1912219524383545	4.169189929962158
131	042	20	4	729143	7774	0.18055033683776855	6.028968095779419
132	042	10	8	1449066	22569	0.21331119537353516	10.7620108127594
133	042	5	16	2898420	60952	0.24045658111572266	19.04027271270752
134	042	1	80	14505730	301150	0.536656379699707	102.6724750995636
135	043	40	2	364204	18720	0.18813776969909668	4.136857032775879
136	043	20	4	728160	7478	0.17979168891906738	6.202503204345703
137	043	10	8	1460660	17405	0.20354294776916504	12.220167636871338
138	043	5	16	2918496	36591	0.2451014518737793	24.535929679870605
