	sequence	sampling points	vegetation inliers	sampling time	total time
111	038	250	42	5.506299018859863	6.289203643798828
112	038	500	344	5.709630966186523	7.04109525680542
113	038	1000	383	5.5505125522613525	9.998046875
114	038	2000	457	6.316150665283203	38.4651825428009
115	039	100	629	9.296271562576294	9.956019163131714
116	039	250	1997	9.155725240707397	9.834121227264404
117	039	500	2861	9.056447267532349	9.925345420837402
118	039	1000	3676	9.200401306152344	11.883492946624756
119	039	2000	3803	9.59958529472351	34.483107566833496
120	040	100	778	5.381873369216919	6.200968265533447
121	040	250	2035	5.413262844085693	6.279886484146118
122	040	500	490	5.3971381187438965	6.465144634246826
123	040	1000	879	5.445594787597656	8.563897132873535
124	040	2000	1951	5.919686794281006	25.787436962127686
125	041	100	10480	8.415100336074829	9.065650463104248
126	041	250	11753	8.459015846252441	9.150903940200806
127	041	500	13240	8.3792405128479	9.275347232818604
128	041	1000	15977	8.891782522201538	11.612084865570068
129	041	2000	17323	9.068874835968018	25.949582815170288
130	042	100	30421	7.785834312438965	8.56947660446167
131	042	250	27951	7.81299614906311	8.670523643493652
132	042	500	17122	7.627158164978027	8.675912380218506
133	042	1000	18663	7.9543986320495605	10.36802625656128
134	042	2000	25547	8.455897808074951	26.809916496276855
135	043	100	97233	9.771869897842407	10.438090085983276
136	043	250	40192	9.372076034545898	10.138770580291748
137	043	500	18752	9.630409717559814	10.6006600856781
138	043	1000	19050	9.85329294204712	11.322687149047852
139	043	2000	19133	10.179712772369385	19.912487506866455
140	044	100	1282	8.617478609085083	9.827079057693481
141	044	250	178873	8.432832956314087	10.031994581222534
142	044	500	21105	8.574328184127808	10.115789890289307
143	044	1000	212819	8.427819013595581	10.673165559768677
144	044	2000	296721	8.956688404083252	16.226200103759766
145	046	100	59540	7.763455867767334	8.468011617660522
146	046	250	77662	7.66493821144104	8.429815292358398
147	046	500	24668	7.957149505615234	8.961288213729858
148	046	1000	28723	8.12429404258728	10.123230457305908
149	046	2000	35030	8.168487310409546	24.08517575263977
