	step	number of pcds	number of points	vegetation inliers	concatenation time	total time
0	1	80.0	13823259.733333332	129280.96666666666	0.5722988923390706	100.91160078048706
1	5	16.0	2764036.8333333335	40266.23333333333	0.24206165472666422	19.700323065121967
2	10	8.0	1383691.7	12420.733333333334	0.20530474185943604	10.635950255393983
3	20	4.0	693049.8	9238.066666666668	0.18599169254302977	6.6495265881220496
4	40	2.0	346435.6	9183.966666666667	0.18660927613576253	5.702738499641418
