	sequence	radius	contour time	total time
0	001	2	0.23857474327087402	10.961311340332031
1	001	4	0.30063438415527344	10.668824672698975
2	001	6	0.6017992496490479	10.598230361938477
3	001	8	1.9069154262542725	12.184509992599487
4	001	10	4.832000017166138	15.269319295883179
5	002	2	0.26917123794555664	9.141050577163696
6	002	4	0.5206699371337891	8.909084796905518
7	002	6	1.372817039489746	9.62836766242981
8	002	8	5.910409927368164	14.062223196029663
9	002	10	13.472824096679688	21.990859508514404
10	003	2	0.2754378318786621	8.426008462905884
11	003	4	0.48865652084350586	8.1255042552948
12	003	6	1.4554626941680908	9.12317943572998
13	003	8	6.108161211013794	13.927629709243774
14	003	10	13.14897084236145	20.790138006210327
15	005	2	0.2697784900665283	7.363030910491943
16	005	4	0.4377708435058594	6.929542541503906
17	005	6	1.1994225978851318	8.024168252944946
18	005	8	3.5630271434783936	10.29536747932434
19	005	10	8.206007957458496	14.88863492012024
20	011	2	0.25328707695007324	7.1325531005859375
21	011	4	0.40369653701782227	6.844505786895752
22	011	6	0.9366106986999512	7.319275379180908
23	011	8	3.3893280029296875	9.747033596038818
24	011	10	7.251276016235352	13.729357719421387
25	013	2	0.2721230983734131	5.318648338317871
26	013	4	0.4175755977630615	5.098222732543945
27	013	6	1.1486568450927734	6.057352066040039
28	013	8	3.002082109451294	7.92882513999939
29	013	10	5.098349571228027	9.935404777526855
30	015	2	0.302384614944458	7.4564690589904785
31	015	4	1.147796630859375	8.210647344589233
32	015	6	6.241760015487671	13.302830696105957
33	015	8	16.71944546699524	23.62521743774414
34	015	10	31.69451403617859	38.73833513259888
35	016	2	0.3028409481048584	8.584926128387451
36	016	4	1.133192539215088	8.817522048950195
37	016	6	6.709030866622925	14.95561408996582
38	016	8	18.74367094039917	26.534074306488037
39	016	10	37.103020429611206	44.80946731567383
40	017	2	0.26997900009155273	7.011410713195801
41	017	4	0.5821247100830078	6.671982049942017
42	017	6	2.70792818069458	8.796900510787964
43	017	8	8.177034854888916	14.46710729598999
44	017	10	18.058962106704712	24.367284774780273
45	019	2	0.29306840896606445	8.578254461288452
46	019	4	0.3738560676574707	8.225245237350464
47	019	6	0.8328468799591064	8.59120512008667
48	019	8	2.845576763153076	10.812525510787964
49	019	10	6.306947469711304	14.295353412628174
50	021	2	0.252288818359375	9.787385702133179
51	021	4	0.35773181915283203	9.554258823394775
52	021	6	0.7531082630157471	9.921996831893921
53	021	8	2.1525776386260986	11.640352725982666
54	021	10	5.222392559051514	14.566579818725586
55	023	2	0.25923657417297363	8.059252738952637
56	023	4	0.33414578437805176	7.94311785697937
57	023	6	0.5876524448394775	7.956071376800537
58	023	8	1.3322279453277588	8.957523107528687
59	023	10	3.4461567401885986	10.900959730148315
60	024	2	0.26101183891296387	10.637535810470581
61	024	4	0.3290724754333496	10.46049451828003
62	024	6	0.6043870449066162	10.963351726531982
63	024	8	1.5131800174713135	11.71178674697876
64	024	10	4.7763941287994385	15.028512239456177
65	027	2	0.2757728099822998	9.762115478515625
66	027	4	0.37442731857299805	8.954670667648315
67	027	6	0.8771622180938721	9.604192972183228
68	027	8	2.2819201946258545	10.787211894989014
69	027	10	4.566828012466431	13.219680309295654
70	028	2	0.30080366134643555	8.519570589065552
71	028	4	0.500227689743042	7.98393702507019
72	028	6	1.474825143814087	9.098968029022217
73	028	8	3.6461281776428223	11.060991048812866
74	028	10	7.0933332443237305	14.762798070907593
75	029	2	0.2777211666107178	14.00243854522705
76	029	4	0.35601806640625	13.910535097122192
